"Boletín","Titulo","Ley","Estado","Fecha"
"16068-07","Modifica el Código Penal, para sancionar el financiamiento de la creación, difusión o promoción de noticias falsas o desinformación, en los casos que señala","","En tramitación","05/07/2023"
"16078-08","Modifica la Ley General de Servicios Eléctricos, en materia de transición energética que posiciona a la transmisión eléctrica como un sector habilitante para la carbono neutralidad","","En tramitación","10/07/2023"
"16079-02","Regula las reglas para el uso de la fuerza por parte de las Fuerzas Armadas y de Orden y Seguridad Pública, en las circunstancias que indica","","En tramitación","11/07/2023"
"16086-06","Modifica la ley N° 21.325, Ley de Migración y Extranjería, con el objeto de perfeccionar la gestión de los procedimientos migratorios que indica","","En tramitación","11/07/2023"
"16087-07","Modifica la ley N° 20.564, que establece Ley Marco de los Bomberos de Chile, para imponer, a quienes ejercen funciones en un Cuerpo de Bomberos e incurran en determinadas conductas delictivas, la pena accesoria que señala","","En tramitación","11/07/2023"
"16089-11","Que modifica la ley N° 21.258, para consagrar el derecho al olvido oncológico","","En tramitación","12/07/2023"
"16090-33","Modifica el Código de Aguas, con el objeto de incorporar la regulación de las aguas desaladas de mar","","En tramitación","12/07/2023"
"16091-05","Modifica la ley N° 19.862, que establece registros de las personas jurídicas receptoras de fondos públicos, en materia de actualización de la información de los registros","","En tramitación","12/07/2023"
"16092-13","Modifica el Título II del Libro II del Código del Trabajo ""De la protección a la maternidad, paternidad y vida familiar"" y regula un régimen de trabajo a distancia y teletrabajo en las condiciones que indica.","","En tramitación","14/07/2023"
"16093-07","Modifica el Código Penal, para aumentar la sanción aplicable por ensuciar o provocar otros daños en playas, riberas de ríos, lagos, parques nacionales y demás lugares que señala","","En tramitación","18/07/2023"
"16094-37","Autoriza erigir un monumento, en la comuna de Talcahuano, en memoria del ex Comandante en Jefe del Ejército y ex Ministro de Estado, señor Carlos Prats González","","En tramitación","18/07/2023"
"16095-04","Modifica el decreto con fuerza de ley N° 2, de 2010, del Ministerio de Educación, que fija texto refundido, coordinado y sistematizado de la ley N° 20.370 con las normas no derogadas del decreto con fuerza de ley N° 1, de 2005, para consagrar el derecho de los padres de manifestar su objeción respecto de un contenido o actividad educativa, por los motivos que señalan","","En tramitación","18/07/2023"
"16096-08","Modifica diversos cuerpos legales, para aumentar las sanciones por infracciones en materia de servicios de electricidad y combustibles","","En tramitación","19/07/2023"
"16097-15","Modifica el decreto con fuerza de ley N° 458, de 1976, del Ministerio de Vivienda y Urbanismo, que aprueba nueva Ley General de Urbanismo y Construcciones, en materia de instalación de antenas y sistemas radiantes de transmisión de telecomunicaciones en zonas rurales","","En tramitación","18/07/2023"
"16098-07","Modifica la Carta Fundamental, para incorporar el reconocimiento del territorio nacional","","En tramitación","19/07/2023"
"16099-07","Modifica la Carta Fundamental, con el objeto de consagrar el incentivo de la atención pediátrica integral en los centros de salud","","En tramitación","18/07/2023"
"16100-07","Modifica la Carta Fundamental, con el objeto de establecer un deber de reparación del Estado a las víctimas de actos terroristas y otros que señala","","En tramitación","19/07/2023"
"16101-07","Modifica el artículo 146 del Código Procesal Penal, para restringir la posibilidad de reemplazo de la prisión preventiva por una caución, tratándose de los delitos que señala","","En tramitación","19/07/2023"
